 j=            0
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=           85
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 j=           86
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
 -0.750000000000000       0.000000000000000E+000  0.000000000000000E+000
